avg_values,meas_values
0.807843137254902,2864.1
0.8117647058823529,2870.2
0.8156862745098039,2878.6
0.8196078431372549,2889.5
0.8235294117647058,2896.5
0.8274509803921568,2916.1
0.8313725490196079,2925.1
0.8352941176470589,2924.1
0.8392156862745098,2921.1
0.8431372549019608,2940.9
0.8470588235294118,2950.9
0.8509803921568627,2953.3
0.8549019607843137,2960.6
0.8588235294117647,2968.0
0.8627450980392157,2983.7
0.8666666666666667,2984.7
0.8705882352941177,2991.3
0.8745098039215686,2996.2
0.8784313725490196,3011.2
0.8823529411764706,3017.0
0.8862745098039215,3018.0
0.8901960784313725,3022.3
0.8941176470588236,3029.8
0.8980392156862745,3036.4
0.9019607843137255,3048.5
0.9058823529411765,3055.1
0.9098039215686274,3061.3
0.9137254901960784,3064.9
